game,name,score,place,timeout
982,g3,31,2nd,no
982,g2,24,3rd,no
982,g6,12,4th,no
983,g2,39,1st,no
983,g1,28,2nd,no
983,g6,28,2nd,no
983,g4,6,4th,no
984,g1,41,1st,no
985,g4,22,2nd,no
985,g6,21,3rd,no
985,g2,17,4th,no
986,g3,48,1st,no
986,g1,37,2nd,no
986,g2,16,3rd,no
986,g7,0,4th,no
987,g2,65,1st,no
988,g1,34,2nd,no
988,g4,19,3rd,no
988,g7,0,4th,no
989,g3,60,1st,no
991,g1,33,2nd,no
991,g6,24,3rd,no
991,g7,9,4th,no
992,g3,59,1st,no
993,g6,37,2nd,no
993,g4,23,3rd,no
993,g7,0,4th,no
994,g2,56,1st,no
996,g8,25,2nd,no
996,g3,21,3rd,no
996,g1,16,4th,no
997,g2,43,1st,no
997,g1,38,2nd,no
997,g8,19,3rd,no
997,g4,0,4th,no
998,g3,55,1st,no
998,g8,25,2nd,no
998,g1,16,3rd,no
998,g4,4,4th,no
999,g3,63,1st,no
1000,g6,29,2nd,no
1000,g8,28,3rd,no
1000,g1,13,4th,no
1001,g3,41,1st,no
1002,g6,24,2nd,no
1002,g8,23,3rd,no
1002,g2,21,4th,no
1003,g8,49,1st,no
1004,g6,26,2nd,no
1004,g4,24,3rd,no
1004,g8,21,4th,no
1005,g6,31,1st,no
1005,g8,28,2nd,no
1005,g3,24,3rd,no
1005,g4,18,4th,no
1006,g2,48,1st,no
1006,g8,41,2nd,no
1006,g1,10,3rd,no
1006,g7,1,4th,no
1007,g3,54,1st,no
1008,g8,28,2nd,no
1008,g2,18,3rd,no
1008,g7,5,4th,no
1009,g8,58,1st,no
1009,g7,23,2nd,no
1009,g4,18,3rd,no
1009,g1,1,4th,no
1010,g2,64,1st,no
1011,g8,36,2nd,no
1011,g4,26,3rd,no
1011,g7,0,4th,no
1012,g6,55,1st,no
1013,g6,33,2nd,no
1013,g8,28,3rd,no
1013,g7,0,4th,no
1014,g8,47,1st,no
1015,g7,26,2nd,no
1015,g8,17,3rd,no
1015,g6,16,4th,no
1016,g3,45,1st,no
1016,g2,19,2nd,no
1016,g9,19,2nd,no
1016,g1,18,4th,no
1017,g2,47,1st,no
1020,g9,28,1st,no
1020,g6,23,3rd,no
1020,g1,21,4th,no
1021,g3,58,1st,no
1022,g6,25,2nd,no
1022,g2,23,3rd,no
1022,g3,22,4th,no
1023,g6,36,1st,no
1023,g9,26,2nd,no
1023,g1,20,3rd,no
1023,g4,18,4th,no
1024,g2,39,1st,no
1025,g3,24,2nd,no
1025,g4,24,2nd,no
1025,g9,24,2nd,no
1026,g2,51,1st,no
1026,g1,25,2nd,no
1026,g9,24,3rd,no
1026,g7,0,4th,no
1027,g3,54,1st,no
1028,g9,30,2nd,no
1028,g2,23,3rd,no
1028,g7,13,4th,no
1029,g9,46,1st,no
1029,g4,36,2nd,no
1029,g1,17,3rd,no
1029,g7,1,4th,no
1030,g2,50,1st,no
1035,g9,31,2nd,no
1035,g7,24,3rd,no
1035,g6,13,4th,no
1036,g8,42,1st,no
1036,g1,23,2nd,no
1036,g2,23,2nd,no
1036,g9,13,4th,no
1037,g3,45,1st,no
1038,g3,28,1st,no
1038,g8,25,3rd,no
1038,g9,19,4th,no
1039,g9,33,1st,no
1040,g8,29,2nd,no
1040,g9,28,3rd,no
1040,g4,11,4th,no
1041,g9,37,1st,no
1041,g3,31,2nd,no
1041,g4,21,3rd,no
1041,g8,12,4th,no
1042,g8,42,1st,no
1043,g2,31,2nd,no
1043,g9,19,3rd,no
1043,g6,18,4th,no
1044,g3,35,1st,no
1045,g4,28,2nd,no
1045,g6,27,3rd,no
1045,g9,17,4th,no
1046,g8,53,1st,no
1047,g9,33,1st,no
1047,g8,31,3rd,no
1047,g7,4,4th,no
1048,g8,40,1st,no
1048,g3,37,2nd,no
1048,g9,21,3rd,no
1048,g7,2,4th,no
1049,g4,43,1st,no
1050,g9,31,2nd,no
1050,g8,26,3rd,no
1050,g7,9,4th,no
1051,g3,44,1st,no
1052,g6,29,1st,no
1052,g3,26,3rd,no
1052,g1,17,4th,no
1053,g1,39,1st,no
1053,g2,38,2nd,no
1053,g6,21,3rd,no
1053,g4,3,4th,no
1054,g3,42,1st,no
1054,g1,35,2nd,no
1054,g6,18,3rd,no
1054,g4,5,4th,no
1055,g3,54,1st,no
1058,g3,38,2nd,no
1058,g4,14,3rd,no
1058,g7,5,4th,no
1059,g3,53,1st,no
1062,g7,33,2nd,no
1062,g6,28,3rd,no
1062,g2,5,4th,no
1063,g1,46,1st,no
1063,g6,27,2nd,no
1063,g7,16,3rd,no
1063,g4,11,4th,no
1064,g4,54,1st,no
1066,g3,34,1st,no
1066,g8,17,3rd,no
1066,g2,15,4th,no
1067,g1,56,1st,no
1068,g1,34,2nd,no
1068,g8,21,3rd,no
1068,g4,8,4th,no
1069,g3,62,1st,no
1071,g1,26,2nd,no
1071,g3,23,3rd,no
1071,g6,19,4th,no
1072,g3,40,1st,no
1074,g8,29,2nd,no
1074,g6,28,3rd,no
1074,g2,12,4th,no
1075,g3,43,1st,no
1077,g1,29,2nd,no
1077,g8,21,3rd,no
1077,g3,20,4th,no
1078,g7,37,1st,no
1080,g2,28,2nd,no
1080,g8,22,3rd,no
1080,g4,21,4th,no
1081,g3,37,1st,no
1081,g8,30,2nd,no
1081,g7,19,3rd,no
1081,g4,15,4th,no
1082,g1,48,1st,no
1084,g7,27,2nd,no
1084,g8,26,3rd,no
1084,g3,18,4th,no
1085,g7,32,1st,no
1086,g3,28,2nd,no
1086,g2,24,3rd,no
1086,g9,16,4th,no
1087,g2,38,1st,no
1090,g1,29,2nd,no
1090,g6,25,3rd,no
1090,g9,15,4th,no
1091,g6,36,1st,no
1092,g9,29,1st,no
1092,g3,22,3rd,no
1092,g2,21,4th,no
1093,g1,44,1st,no
1094,g2,32,2nd,no
1094,g6,20,3rd,no
1094,g4,13,4th,no
1095,g3,39,1st,no
1095,g9,31,2nd,no
1095,g6,16,3rd,no
1095,g4,14,4th,no
1096,g1,58,1st,no
1098,g2,27,2nd,no
1098,g3,27,2nd,no
1098,g9,18,4th,no
1099,g4,32,1st,no
1099,g9,30,2nd,no
1099,g1,26,3rd,no
1099,g7,12,4th,no
1100,g9,36,1st,no
1107,g3,24,2nd,no
1107,g8,24,2nd,no
1107,g9,22,4th,no
1108,g9,34,1st,no
1109,g8,27,2nd,no
1109,g9,21,3rd,no
1109,g4,18,4th,no
1110,g8,43,1st,no
1112,g8,27,2nd,no
1112,g6,20,3rd,no
1112,g9,20,3rd,no
1113,g8,44,1st,no
1115,g8,27,2nd,no
1115,g9,24,3rd,no
1115,g6,22,4th,no
1116,g9,38,1st,no
1117,g9,27,1st,no
1117,g8,26,3rd,no
1117,g7,20,4th,no
1118,g9,32,1st,no
1120,g8,27,1st,no
1120,g6,26,3rd,no
1120,g9,21,4th,no
1121,g3,187,1st,no
1122,g3,119,2nd,no
1122,g6,110,3rd,no
1122,g1,71,4th,no
1123,g2,189,1st,no
1124,g6,123,2nd,no
1124,g1,90,3rd,no
1124,g4,6,4th,no
1125,g3,165,1st,no
1126,g1,170,2nd,yes
1126,g7,34,3rd,no
1126,g2,1,4th,no
1127,g2,251,1st,no
1127,g4,128,2nd,no
1127,g1,121,3rd,no
1127,g7,0,4th,no
1128,g3,249,1st,no
1129,g4,104,2nd,no
1129,g2,70,3rd,no
1129,g7,2,4th,no
1130,g6,194,1st,no
1130,g1,126,2nd,no
1130,g2,107,3rd,no
1130,g7,5,4th,no
1131,g3,193,1st,no
1132,g6,165,2nd,no
1132,g2,97,3rd,no
1132,g7,0,4th,no
1133,g4,205,1st,no
1134,g6,163,2nd,no
1134,g2,108,3rd,no
1134,g7,2,4th,no
1135,g3,212,1st,no
1135,g6,175,2nd,no
1135,g4,109,3rd,no
1135,g7,4,4th,no
1136,g2,202,1st,no
1136,g8,129,2nd,no
1136,g3,119,3rd,no
1136,g1,50,4th,no
1137,g8,104,1st,no
1138,g8,109,2nd,no
1138,g1,95,3rd,no
1138,g4,31,4th,no
1139,g3,164,1st,no
1140,g2,152,2nd,no
1140,g6,102,3rd,no
1140,g1,57,4th,no
1141,g8,169,1st,no
1144,g6,120,2nd,no
1144,g2,89,3rd,no
1144,g4,79,4th,no
1145,g8,149,1st,no
1148,g8,188,2nd,no
1148,g2,23,3rd,no
1148,g7,1,4th,no
1149,g4,237,1st,no
1150,g4,83,2nd,no
1150,g2,11,3rd,no
1150,g7,0,4th,no
1151,g7,160,1st,no
1152,g8,175,2nd,no
1152,g1,79,3rd,no
1152,g7,27,4th,no
