game,name,score,place,timeout
841,g2,6,1st,no
841,g3,6,1st,no
841,g4,5,3rd,no
841,g1,3,4th,no
842,g6,9,1st,no
842,g2,8,2nd,no
842,g3,3,3rd,no
842,g1,0,4th,no
843,g2,7,1st,no
843,g4,5,2nd,no
843,g6,5,2nd,no
843,g1,3,4th,no
844,g6,8,1st,no
844,g3,7,2nd,no
844,g1,4,3rd,no
844,g4,1,4th,no
845,g4,6,1st,no
845,g3,5,2nd,no
845,g6,5,2nd,no
845,g2,4,4th,no
846,g2,9,1st,no
846,g1,4,2nd,no
846,g3,4,2nd,no
846,g7,3,4th,no
847,g7,7,1st,no
847,g2,6,2nd,no
847,g4,4,3rd,no
847,g1,3,4th,no
848,g3,13,1st,no
848,g1,4,2nd,no
848,g4,2,3rd,no
848,g7,0,4th,no
849,g4,6,1st,no
849,g2,5,2nd,no
849,g7,5,2nd,no
849,g3,4,4th,no
850,g6,7,1st,no
850,g1,6,2nd,no
850,g2,4,3rd,no
850,g7,2,4th,no
851,g3,9,1st,no
851,g6,6,2nd,no
851,g1,4,3rd,no
851,g7,1,4th,no
852,g2,7,1st,no
852,g7,6,2nd,no
852,g6,4,3rd,no
852,g3,3,4th,no
853,g1,9,1st,no
853,g6,6,2nd,no
853,g7,3,3rd,no
853,g4,2,4th,no
854,g2,7,1st,no
854,g6,6,2nd,no
854,g4,4,3rd,no
854,g7,3,4th,no
855,g4,7,1st,no
855,g7,6,2nd,no
855,g3,4,3rd,no
855,g6,3,4th,no
856,g3,7,1st,no
856,g8,6,2nd,no
856,g2,4,3rd,no
856,g1,3,4th,no
857,g8,9,1st,no
857,g2,5,2nd,no
857,g4,4,3rd,no
857,g1,1,4th,no
858,g8,8,1st,no
858,g3,6,2nd,no
858,g1,3,3rd,no
858,g4,2,4th,no
859,g4,6,1st,no
859,g2,5,2nd,no
859,g8,5,2nd,no
859,g3,4,4th,no
860,g2,7,1st,no
860,g8,6,2nd,no
860,g6,5,3rd,no
860,g1,2,4th,no
861,g1,6,1st,no
861,g8,5,2nd,no
861,g6,4,3rd,no
861,g3,0,4th,no
862,g2,7,1st,no
862,g3,7,1st,no
862,g6,4,3rd,no
862,g8,2,4th,no
863,g8,7,1st,no
863,g4,5,2nd,no
863,g6,5,2nd,no
863,g1,3,4th,no
864,g2,8,1st,no
864,g8,6,2nd,no
864,g4,3,3rd,no
864,g6,3,3rd,no
865,g3,5,1st,no
865,g4,5,1st,no
865,g6,5,1st,no
865,g8,5,1st,no
866,g2,8,1st,no
866,g8,7,2nd,no
866,g7,3,3rd,no
866,g1,2,4th,no
867,g7,7,1st,no
867,g3,6,2nd,no
867,g1,5,3rd,no
867,g8,2,4th,no
868,g7,7,1st,no
868,g2,5,2nd,no
868,g3,5,2nd,no
868,g8,3,4th,no
869,g8,9,1st,no
869,g7,5,2nd,no
869,g4,3,3rd,no
869,g1,2,4th,no
870,g8,7,1st,no
870,g2,4,2nd,no
870,g4,4,2nd,no
870,g7,4,2nd,no
871,g3,8,1st,no
871,g4,4,2nd,no
871,g8,4,2nd,no
871,g7,3,4th,no
872,g8,9,1st,no
872,g7,5,2nd,no
872,g1,3,3rd,no
872,g6,3,3rd,no
873,g2,6,1st,no
873,g6,6,1st,no
873,g7,4,3rd,no
873,g8,4,3rd,no
874,g8,7,1st,no
874,g7,6,2nd,no
874,g6,4,3rd,no
874,g3,3,4th,no
875,g8,7,1st,no
875,g4,5,2nd,no
875,g6,5,2nd,no
875,g7,2,4th,no
876,g9,8,1st,no
876,g3,6,2nd,no
876,g2,5,3rd,no
876,g1,1,4th,no
877,g1,6,1st,no
877,g2,6,1st,no
877,g4,4,3rd,no
877,g9,4,3rd,no
878,g4,9,1st,no
878,g9,7,2nd,no
878,g3,2,3rd,no
878,g1,1,4th,no
879,g3,11,1st,no
879,g2,6,2nd,no
879,g9,3,3rd,no
879,g4,0,4th,no
880,g2,10,1st,no
880,g6,6,2nd,no
880,g1,2,3rd,no
880,g9,2,3rd,no
881,g3,10,1st,no
881,g6,7,2nd,no
881,g9,2,3rd,no
881,g1,1,4th,no
882,g9,7,1st,no
882,g6,6,2nd,no
882,g3,5,3rd,no
882,g2,2,4th,no
883,g9,11,1st,no
883,g6,4,2nd,no
883,g1,2,3rd,no
883,g4,2,3rd,no
884,g4,8,1st,no
884,g6,7,2nd,no
884,g2,5,3rd,no
884,g9,0,4th,no
885,g6,8,1st,no
885,g3,5,2nd,no
885,g4,4,3rd,no
885,g9,3,4th,no
886,g9,11,1st,no
886,g2,4,2nd,no
886,g7,3,3rd,no
886,g1,1,4th,no
887,g3,11,1st,no
887,g1,4,2nd,no
887,g7,3,3rd,no
887,g9,2,4th,no
888,g3,6,1st,no
888,g9,6,1st,no
888,g2,4,3rd,no
888,g7,4,3rd,no
889,g4,8,1st,no
889,g9,7,2nd,no
889,g1,2,3rd,no
889,g7,2,3rd,no
890,g2,10,1st,no
890,g9,4,2nd,no
890,g7,3,3rd,no
890,g4,2,4th,no
891,g3,7,1st,no
891,g4,5,2nd,no
891,g9,5,2nd,no
891,g7,3,4th,no
892,g6,8,1st,no
892,g7,6,2nd,no
892,g9,4,3rd,no
892,g1,2,4th,no
893,g9,8,1st,no
893,g6,7,2nd,no
893,g2,3,3rd,no
893,g7,2,4th,no
894,g9,6,1st,no
894,g6,5,2nd,no
894,g7,5,2nd,no
894,g3,4,4th,no
895,g4,6,1st,no
895,g6,5,2nd,no
895,g9,5,2nd,no
895,g7,4,4th,no
896,g2,7,1st,no
896,g8,6,2nd,no
896,g9,5,3rd,no
896,g1,1,4th,no
897,g1,8,1st,no
897,g8,6,2nd,no
897,g3,4,3rd,no
897,g9,2,4th,no
898,g3,7,1st,no
898,g8,6,2nd,no
898,g9,5,3rd,no
898,g2,2,4th,no
899,g8,9,1st,no
899,g4,6,2nd,no
899,g9,3,3rd,no
899,g1,2,4th,no
900,g2,8,1st,no
900,g8,5,2nd,no
900,g9,4,3rd,no
900,g4,2,4th,no
901,g8,6,1st,no
901,g9,6,1st,no
901,g3,4,3rd,no
901,g4,4,3rd,no
902,g8,10,1st,no
902,g6,4,2nd,no
902,g1,3,3rd,no
902,g9,3,3rd,no
903,g8,7,1st,no
903,g9,6,2nd,no
903,g6,5,3rd,no
903,g2,2,4th,no
904,g8,8,1st,no
904,g3,6,2nd,no
904,g6,3,3rd,no
904,g9,3,3rd,no
905,g9,9,1st,no
905,g8,5,2nd,no
905,g4,3,3rd,no
905,g6,3,3rd,no
906,g8,12,1st,no
906,g7,4,2nd,no
906,g9,2,3rd,no
906,g1,1,4th,no
907,g8,7,1st,no
907,g2,6,2nd,no
907,g9,4,3rd,no
907,g7,3,4th,no
908,g8,8,1st,no
908,g3,7,2nd,no
908,g7,4,3rd,no
908,g9,1,4th,no
909,g8,8,1st,no
909,g9,6,2nd,no
909,g4,5,3rd,no
909,g7,1,4th,no
910,g9,7,1st,no
910,g8,6,2nd,no
910,g7,4,3rd,no
910,g6,3,4th,no
911,g2,7,1st,no
911,g3,5,2nd,no
911,g4,4,3rd,no
911,g1,3,4th,no
912,g1,8,1st,no
912,g3,5,2nd,no
912,g2,4,3rd,no
912,g6,3,4th,no
913,g1,8,1st,no
913,g4,5,2nd,no
913,g6,4,3rd,no
913,g2,2,4th,no
914,g1,9,1st,no
914,g3,5,2nd,no
914,g6,3,3rd,no
914,g4,2,4th,no
915,g3,9,1st,no
915,g4,5,2nd,no
915,g6,5,2nd,no
915,g2,0,4th,no
916,g3,8,1st,no
916,g7,6,2nd,no
916,g1,5,3rd,no
916,g2,0,4th,no
917,g4,7,1st,no
917,g7,7,1st,no
917,g1,3,3rd,no
917,g2,2,4th,no
918,g3,8,1st,no
918,g1,4,2nd,no
918,g7,4,2nd,no
918,g4,3,4th,no
919,g7,7,1st,no
919,g3,5,2nd,no
919,g4,4,3rd,no
919,g2,3,4th,no
920,g2,7,1st,no
920,g7,6,2nd,no
920,g6,4,3rd,no
920,g1,3,4th,no
921,g1,6,1st,no
921,g3,6,1st,no
921,g7,4,3rd,no
921,g6,3,4th,no
922,g7,10,1st,no
922,g3,7,2nd,no
922,g6,2,3rd,no
922,g2,1,4th,no
923,g7,6,1st,no
923,g6,5,2nd,no
923,g1,4,3rd,no
923,g4,4,3rd,no
924,g7,8,1st,no
924,g2,5,2nd,no
924,g4,4,3rd,no
924,g6,3,4th,no
925,g7,10,1st,no
925,g3,5,2nd,no
925,g4,3,3rd,no
925,g6,1,4th,no
926,g8,7,1st,no
926,g1,6,2nd,no
926,g2,4,3rd,no
926,g3,3,4th,no
927,g8,8,1st,no
927,g1,5,2nd,no
927,g2,5,2nd,no
927,g4,1,4th,no
928,g8,8,1st,no
928,g3,5,2nd,no
928,g1,3,3rd,no
928,g4,3,3rd,no
929,g8,7,1st,no
929,g2,4,2nd,no
929,g3,4,2nd,no
929,g4,4,2nd,no
930,g8,10,1st,no
930,g2,7,2nd,no
930,g6,3,3rd,no
930,g1,0,4th,no
931,g8,7,1st,no
931,g1,5,2nd,no
931,g3,4,3rd,no
931,g6,4,3rd,no
932,g8,10,1st,no
932,g3,5,2nd,no
932,g6,4,3rd,no
932,g2,1,4th,no
933,g1,6,1st,no
933,g4,6,1st,no
933,g8,5,3rd,no
933,g6,3,4th,no
934,g8,9,1st,no
934,g2,4,2nd,no
934,g6,4,2nd,no
934,g4,3,4th,no
935,g8,7,1st,no
935,g3,5,2nd,no
935,g6,4,3rd,no
935,g4,3,4th,no
936,g8,9,1st,no
936,g2,5,2nd,no
936,g1,4,3rd,no
936,g7,2,4th,no
937,g8,9,1st,no
937,g1,4,2nd,no
937,g7,4,2nd,no
937,g3,2,4th,no
938,g8,9,1st,no
938,g7,5,2nd,no
938,g2,3,3rd,no
938,g3,2,4th,no
939,g8,11,1st,no
939,g4,5,2nd,no
939,g7,2,3rd,no
939,g1,1,4th,no
940,g2,8,1st,no
940,g4,6,2nd,no
940,g7,4,3rd,no
940,g8,1,4th,no
941,g7,8,1st,no
941,g8,6,2nd,no
941,g3,3,3rd,no
941,g4,2,4th,no
942,g8,8,1st,no
942,g7,5,2nd,no
942,g1,4,3rd,no
942,g6,3,4th,no
943,g8,8,1st,no
943,g7,5,2nd,no
943,g6,4,3rd,no
943,g2,3,4th,no
944,g8,10,1st,no
944,g3,5,2nd,no
944,g6,4,3rd,no
944,g7,1,4th,no
945,g7,9,1st,no
945,g4,4,2nd,no
945,g6,4,2nd,no
945,g8,3,4th,no
946,g1,7,1st,no
946,g3,7,1st,no
946,g2,3,3rd,no
946,g9,3,3rd,no
947,g2,7,1st,no
947,g1,6,2nd,no
947,g9,6,2nd,no
947,g4,1,4th,no
948,g3,9,1st,no
948,g1,4,2nd,no
948,g4,3,3rd,no
948,g9,3,3rd,no
949,g3,6,1st,no
949,g9,6,1st,no
949,g2,4,3rd,no
949,g4,3,4th,no
950,g9,7,1st,no
950,g2,5,2nd,no
950,g1,4,3rd,no
950,g6,4,3rd,no
951,g3,10,1st,no
951,g1,5,2nd,no
951,g9,3,3rd,no
951,g6,2,4th,no
952,g3,8,1st,no
952,g9,5,2nd,no
952,g2,4,3rd,no
952,g6,3,4th,no
953,g4,8,1st,no
953,g9,6,2nd,no
953,g6,3,3rd,no
953,g1,2,4th,no
954,g9,8,1st,no
954,g2,5,2nd,no
954,g6,5,2nd,no
954,g4,2,4th,no
955,g9,8,1st,no
955,g3,5,2nd,no
955,g4,5,2nd,no
955,g6,2,4th,no
956,g1,6,1st,no
956,g9,6,1st,no
956,g2,4,3rd,no
956,g7,3,4th,no
957,g3,13,1st,no
957,g7,5,2nd,no
957,g1,1,3rd,no
957,g9,0,4th,no
958,g7,8,1st,no
958,g2,4,2nd,no
958,g3,4,2nd,no
958,g9,3,4th,no
959,g4,6,1st,no
959,g7,5,2nd,no
959,g1,4,3rd,no
959,g9,4,3rd,no
960,g2,7,1st,no
960,g7,6,2nd,no
960,g9,6,2nd,no
960,g4,1,4th,no
961,g3,6,1st,no
961,g7,5,2nd,no
961,g4,4,3rd,no
