game,name,score,place,timeout
421,g2,1,4th,no
421,g3,5,3rd,no
421,g4,6,2nd,no
422,g1,8,1st,no
422,g2,2,4th,no
422,g3,5,2nd,no
422,g6,4,3rd,no
423,g1,5,3rd,no
424,g3,5,2nd,no
424,g4,3,4th,no
424,g6,4,3rd,no
425,g2,3,4th,no
426,g2,3,4th,no
426,g3,7,1st,no
426,g7,4,3rd,no
427,g1,5,2nd,no
427,g2,4,3rd,no
427,g4,4,3rd,no
427,g7,6,1st,no
428,g1,5,2nd,no
428,g3,5,2nd,no
428,g4,3,4th,no
428,g7,6,1st,no
429,g2,3,4th,no
430,g2,4,3rd,no
430,g6,7,1st,no
430,g7,4,3rd,no
431,g1,3,3rd,no
431,g3,10,1st,no
431,g6,4,2nd,no
431,g7,2,4th,no
432,g2,1,4th,no
434,g4,4,3rd,no
434,g6,7,1st,no
434,g7,3,4th,no
435,g3,4,3rd,no
436,g2,1,4th,no
436,g3,3,3rd,no
436,g8,7,2nd,no
437,g1,3,4th,no
438,g3,6,2nd,no
438,g4,2,4th,no
438,g8,7,1st,no
439,g2,0,4th,no
440,g2,3,4th,no
440,g6,5,2nd,no
440,g8,7,1st,no
441,g1,4,2nd,no
441,g3,3,4th,no
441,g6,4,2nd,no
441,g8,9,1st,no
442,g2,3,3rd,no
443,g4,3,4th,no
443,g6,5,2nd,no
443,g8,5,2nd,no
444,g2,5,2nd,no
444,g4,6,1st,no
444,g6,4,4th,no
444,g8,5,2nd,no
445,g3,5,2nd,no
445,g4,4,3rd,no
445,g6,2,4th,no
445,g8,9,1st,no
446,g1,4,3rd,no
446,g2,7,1st,no
446,g7,3,4th,no
446,g8,5,2nd,no
447,g1,5,2nd,no
447,g3,4,3rd,no
447,g7,4,3rd,no
447,g8,6,1st,no
448,g2,1,4th,no
449,g4,4,2nd,no
449,g7,8,1st,no
449,g8,4,2nd,no
450,g2,3,3rd,no
451,g4,1,4th,no
451,g7,8,1st,no
451,g8,5,3rd,no
452,g1,4,2nd,no
452,g6,4,2nd,no
452,g7,4,2nd,no
452,g8,8,1st,no
453,g2,2,4th,no
454,g6,1,4th,no
454,g7,8,1st,no
454,g8,6,2nd,no
455,g4,1,4th,no
456,g2,1,4th,no
456,g3,3,3rd,no
456,g9,7,2nd,no
457,g1,2,4th,no
457,g2,7,1st,no
457,g4,3,3rd,no
457,g9,7,1st,no
458,g1,3,3rd,no
458,g3,8,1st,no
458,g4,3,3rd,no
458,g9,5,2nd,no
459,g2,1,4th,no
461,g3,9,1st,no
461,g6,3,3rd,no
461,g9,2,4th,no
462,g2,4,3rd,no
463,g4,6,2nd,no
463,g6,2,4th,no
463,g9,3,3rd,no
464,g2,3,3rd,no
465,g4,4,2nd,no
465,g6,3,4th,no
465,g9,4,2nd,no
466,g1,4,3rd,no
467,g3,10,1st,no
467,g7,1,4th,no
467,g9,2,3rd,no
468,g2,1,4th,no
469,g4,3,4th,no
469,g7,6,1st,no
469,g9,6,1st,no
470,g2,5,2nd,no
470,g4,0,4th,no
470,g7,10,1st,no
470,g9,4,3rd,no
471,g3,2,4th,no
472,g6,3,3rd,no
472,g7,3,3rd,no
472,g9,8,1st,no
473,g2,3,4th,no
474,g6,4,4th,no
474,g7,5,1st,no
474,g9,5,1st,no
475,g4,6,1st,no
475,g6,4,3rd,no
475,g7,6,1st,no
475,g9,4,3rd,no
476,g1,6,2nd,no
476,g2,2,4th,no
476,g8,7,1st,no
476,g9,4,3rd,no
477,g1,5,2nd,no
477,g3,4,3rd,no
477,g8,4,3rd,no
477,g9,6,1st,no
478,g2,1,4th,no
479,g4,1,4th,no
479,g8,8,1st,no
479,g9,5,2nd,no
480,g2,4,3rd,no
480,g4,5,2nd,no
480,g8,6,1st,no
480,g9,4,3rd,no
481,g3,5,1st,no
481,g4,4,4th,no
481,g8,5,1st,no
481,g9,5,1st,no
482,g1,4,3rd,no
483,g6,7,1st,no
483,g8,4,3rd,no
483,g9,2,4th,no
484,g3,2,4th,no
484,g6,5,3rd,no
