game,name,score,place,timeout
3,g1,1,4th,no
3,g2,8,1st,no
3,g4,6,2nd,no
3,g6,5,3rd,no
7,g1,3,4th,no
7,g2,5,2nd,no
7,g4,5,2nd,no
7,g7,6,1st,no
10,g1,5,3rd,no
10,g2,2,4th,no
10,g6,6,1st,no
10,g7,6,1st,no
13,g1,4,3rd,no
13,g4,5,2nd,no
13,g6,7,1st,no
13,g7,4,3rd,no
14,g2,5,2nd,no
14,g4,6,1st,no
14,g6,3,4th,no
14,g7,5,2nd,no
15,g3,3,4th,no
15,g4,8,1st,no
15,g6,4,3rd,no
15,g7,5,2nd,no
17,g1,4,4th,no
17,g2,5,1st,no
17,g4,5,1st,no
17,g8,5,1st,no
20,g1,1,4th,no
20,g2,4,3rd,no
20,g6,5,2nd,no
20,g8,9,1st,no
23,g1,5,2nd,no
23,g4,5,2nd,no
23,g6,2,4th,no
23,g8,8,1st,no
24,g2,6,2nd,no
24,g4,1,4th,no
24,g6,5,3rd,no
24,g8,8,1st,no
25,g3,4,3rd,no
25,g4,3,4th,no
25,g6,5,2nd,no
25,g8,7,1st,no
26,g1,5,2nd,no
26,g2,4,3rd,no
26,g7,4,3rd,no
26,g8,6,1st,no
29,g1,5,2nd,no
29,g4,4,3rd,no
29,g7,6,1st,no
29,g8,4,3rd,no
30,g2,7,1st,no
30,g4,0,4th,no
30,g7,5,3rd,no
30,g8,7,1st,no
31,g3,4,4th,no
31,g4,5,2nd,no
31,g7,5,2nd,no
31,g8,6,1st,no
32,g1,4,3rd,no
32,g6,4,3rd,no
32,g7,6,1st,no
32,g8,5,2nd,no
33,g2,5,2nd,no
33,g6,3,4th,no
33,g7,5,2nd,no
33,g8,6,1st,no
34,g3,4,3rd,no
34,g6,6,1st,no
34,g7,5,2nd,no
34,g8,4,3rd,no
35,g4,4,3rd,no
35,g6,4,3rd,no
35,g7,5,2nd,no
35,g8,7,1st,no
37,g1,1,4th,no
37,g2,5,2nd,no
37,g4,4,3rd,no
37,g9,9,1st,no
40,g1,6,1st,no
40,g2,4,3rd,no
40,g6,5,2nd,no
40,g9,4,3rd,no
43,g1,5,2nd,no
43,g4,3,4th,no
43,g6,5,2nd,no
43,g9,6,1st,no
44,g2,3,4th,no
44,g4,6,1st,no
44,g6,6,1st,no
44,g9,4,3rd,no
45,g3,2,4th,no
45,g4,4,3rd,no
45,g6,6,2nd,no
45,g9,7,1st,no
46,g1,3,4th,no
46,g2,5,2nd,no
46,g7,6,1st,no
46,g9,5,2nd,no
49,g1,7,1st,no
49,g4,3,4th,no
49,g7,5,2nd,no
49,g9,4,3rd,no
50,g2,4,3rd,no
50,g4,1,4th,no
50,g7,6,2nd,no
50,g9,8,1st,no
51,g3,6,1st,no
51,g4,3,4th,no
51,g7,5,2nd,no
51,g9,5,2nd,no
52,g1,6,1st,no
52,g6,5,2nd,no
52,g7,4,3rd,no
52,g9,4,3rd,no
53,g2,1,4th,no
53,g6,5,3rd,no
53,g7,7,1st,no
53,g9,6,2nd,no
54,g3,7,1st,no
54,g6,2,4th,no
54,g7,4,3rd,no
54,g9,6,2nd,no
55,g4,6,1st,no
55,g6,2,4th,no
55,g7,6,1st,no
55,g9,5,3rd,no
56,g1,3,3rd,no
56,g2,1,4th,no
56,g8,7,2nd,no
56,g9,8,1st,no
59,g1,4,3rd,no
59,g4,7,1st,no
59,g8,5,2nd,no
59,g9,4,3rd,no
60,g2,3,3rd,no
60,g4,6,2nd,no
60,g8,2,4th,no
60,g9,9,1st,no
61,g3,4,3rd,no
61,g4,3,4th,no
61,g8,5,2nd,no
61,g9,7,1st,no
62,g1,1,4th,no
62,g6,9,1st,no
62,g8,5,2nd,no
62,g9,4,3rd,no
63,g2,4,3rd,no
63,g6,4,3rd,no
63,g8,5,2nd,no
63,g9,7,1st,no
